Date,Sent,Opened,Unique Opened,Replies,Unique Replies,Clicks,Unique Clicks
2026-07-27,196,0,0,0,0,0,0
2026-07-28,280,0,0,0,0,0,0
2026-07-29,279,0,0,1,1,0,0
2026-07-30,275,0,0,0,0,0,0
2026-07-31,235,0,0,1,1,0,0
2026-08-01,202,0,0,0,0,0,0
2026-08-02,199,0,0,0,0,0,0
2026-08-03,94,0,0,1,1,0,0
2026-08-04,0,0,0,0,0,0,0
