Date,Sent,Opened,Unique Opened,Replies,Unique Replies,Clicks,Unique Clicks
2026-07-29,77,0,0,0,0,0,0
2026-07-30,126,0,0,0,0,0,0
2026-07-31,60,0,0,0,0,0,0
2026-08-01,131,0,0,0,0,0,0
2026-08-02,131,0,0,0,0,0,0
2026-08-03,89,0,0,0,0,0,0
2026-09-10,0,0,0,2,1,0,0
