Date,Sent,Opened,Unique Opened,Replies,Unique Replies,Clicks,Unique Clicks
2026-08-15,30,0,0,0,0,0,0
2026-08-16,30,0,0,0,0,0,0
2026-08-17,30,0,0,1,1,0,0
2026-08-18,30,0,0,2,2,0,0
2026-08-19,30,0,0,1,1,0,0
2026-08-20,6,0,0,0,0,0,0
